source,target
2470,0
2471,1
2472,2
2473,3
2473,4
2473,5
2474,6
2475,7
2475,8
2475,9
2476,10
2477,11
2478,12
2478,13
2479,14
2479,15
2480,16
2481,17
2482,18
2483,19
2484,20
2485,21
2486,22
2486,23
2487,24
2487,25
2488,26
2489,16
2490,27
2491,28
2492,29
2492,30
2493,31
2493,32
2494,33
2495,34
2496,35
2496,36
2497,37
2498,37
2499,38
2500,39
2501,37
2502,37
2503,17
2504,40
2505,41
2506,17
2507,42
2507,43
2508,44
2509,34
2509,45
2510,46
2511,47
2511,48
2512,37
2513,49
2514,50
2515,14
2515,15
2516,51
2516,52
2517,53
2518,54
2519,7
2519,8
2519,9
2520,55
2521,56
2522,57
2523,58
2524,59
2524,60
2525,61
2526,62
2526,63
2527,64
2528,65
2529,11
2529,66
2530,67
2530,68
2530,69
2531,70
2531,71
2532,72
2533,73
2534,74
2535,39
2536,33
2536,75
2537,76
2537,77
2538,78
2538,79
2539,74
2540,80
2541,81
2541,82
2542,83
2542,84
2542,85
2542,86
2543,87
2544,88
2545,89
2546,90
2547,91
2548,92
2549,93
2550,81
2550,82
2551,94
2552,95
2552,96
2553,97
2554,98
2555,24
2555,99
2556,3
2556,100
2557,101
2557,102
2558,28
2559,44
2560,49
2561,103
2562,104
2563,40
2564,105
2564,106
2564,107
2565,108
2566,109
2567,110
2567,111
2568,112
2569,113
2570,114
2571,16
2572,115
2573,54
2574,116
2575,72
2576,7
2576,9
2576,117
2577,118
2578,77
2578,87
2579,7
2579,119
2579,120
2580,121
2581,95
2582,122
2583,123
2584,124
2585,125
2585,126
2585,127
2586,128
2587,129
2587,130
2588,131
2589,132
2590,92
2591,105
2591,133
2591,134
2591,135
2592,136
2593,137
2594,138
2595,135
2596,139
2597,140
2598,139
2599,44
2599,141
2600,142
2601,143
2602,35
2603,61
2603,144
2604,37
2605,145
2606,0
2607,35
2607,36
2608,146
2609,109
2609,147
2610,148
2611,149
2612,150
2613,151
2614,152
2614,153
2615,154
2615,155
2616,156
2616,157
2617,158
2618,159
2619,10
2620,160
2621,161
2622,147
2622,153
2623,162
2624,6
2624,97
2625,152
2626,163
2627,163
2628,152
2629,164
2630,109
2630,147
2631,165
2632,166
2633,77
2634,153
2634,163
2635,16
2636,10
2637,145
2638,147
2639,167
2640,152
2641,168
2642,169
2643,170
2644,171
2645,16
2645,21
2645,172
2646,173
2647,174
2648,16
2649,170
2649,175
2650,176
2651,109
2652,177
2653,166
2653,178
2654,16
2655,143
2656,179
2657,180
2658,181
2659,132
2659,182
2660,183
2660,184
2661,181
2662,185
2663,186
2664,187
2665,163
2666,188
2666,189
2667,85
2668,10
2669,190
2670,191
2671,178
2672,132
2672,163
2673,192
2673,193
2674,163
2674,165
2675,187
2676,71
2676,194
2677,195
2678,196
2679,197
2680,198
2681,35
2681,36
2681,199
2682,160
2682,200
2683,142
2683,201
2684,28
2685,202
2686,194
2687,171
2688,34
2689,203
2690,109
2691,13
2691,53
2692,147
2693,48
2693,204
2694,205
2695,169
2695,206
2696,198
2697,117
2698,207
2698,208
2699,209
2700,178
2701,55
2701,87
