source,target
2470,37472
2471,37472
2472,37472
2473,37472
2474,37472
2475,37472
2476,37472
2477,37472
2478,37472
2479,37472
2480,37472
2481,37472
2482,37472
2483,37472
2484,37472
2485,37472
2486,37472
2487,37472
2488,37472
2489,37472
2490,37472
2491,37472
2492,37472
2493,37472
2494,37472
2495,37472
2496,37472
2497,37472
2498,37472
2499,37472
2500,37472
2501,37472
2502,37472
2503,37472
2504,37472
2505,37472
2506,37472
2507,37472
2508,37472
2509,37472
2510,37472
2511,37472
2512,37472
2513,37472
2514,37472
2515,37472
2516,37472
2517,37472
2518,37472
2519,37472
2520,37472
2521,37472
2522,37472
2523,37472
2524,37472
2525,37472
2526,37472
2527,37472
2528,37472
2529,37472
2530,37472
2531,37472
2532,37472
2533,37472
2534,37472
2535,37472
2536,37472
2537,37472
2538,37472
2539,37472
2540,37472
2541,37472
2542,37472
2543,37472
2544,37472
2545,37472
2546,37472
2547,37472
2548,37472
2549,37472
2550,37472
2551,37472
2552,37472
2553,37472
2554,37472
2555,37472
2556,37472
2557,37472
2558,37472
2559,37472
2560,37472
2561,37472
2562,37472
2563,37472
2564,37472
2565,37472
2566,37472
2567,37472
2568,37472
2569,37472
2570,37472
2571,37472
2572,37472
2573,37472
2574,37472
2575,37472
2576,37472
2577,37472
2578,37472
2579,37472
2580,37472
2581,37472
2582,37473
2583,37473
2584,37473
2585,37473
2586,37473
2587,37473
2588,37473
2589,37473
2590,37473
2591,37473
2592,37473
2593,37474
2594,37474
2595,37474
2596,37474
2597,37474
2598,37474
2599,37475
2600,37475
2601,37475
2602,37475
2603,37475
2604,37475
2605,37475
2606,37475
2607,37475
2608,37475
2609,37475
2610,37475
2611,37475
2612,37475
2613,37475
2614,37475
2615,37475
2616,37475
2617,37475
2618,37475
2619,37475
2620,37475
2621,37475
2622,37475
2623,37475
2624,37475
2625,37475
2626,37475
2627,37475
2628,37475
2629,37475
2630,37475
2631,37475
2632,37475
2633,37475
2634,37475
2635,37475
2636,37475
2637,37475
2638,37475
2639,37475
2640,37475
2641,37475
2642,37475
2643,37475
2644,37475
2645,37475
2646,37475
2647,37475
2648,37475
2649,37475
2650,37475
2651,37475
2652,37475
2653,37475
2654,37475
2655,37475
2656,37475
2657,37475
2658,37475
2659,37475
2660,37475
2661,37475
2662,37475
2663,37475
2664,37475
2665,37475
2666,37475
2667,37475
2668,37475
2669,37475
2670,37475
2671,37475
2672,37475
2673,37475
2674,37475
2675,37475
2676,37475
2677,37475
2678,37475
2679,37475
2680,37475
2681,37475
2682,37475
2683,37475
2684,37475
2685,37475
2686,37475
2687,37475
2688,37475
2689,37475
2690,37475
2691,37475
2692,37475
2693,37475
2694,37475
2695,37475
2696,37475
2697,37475
2698,37475
2699,37475
2700,37475
2701,37475
2702,37475
2703,37475
