source,target
2470,36391
2470,36423
2470,37055
2471,36391
2471,36430
2471,36676
2471,36806
2472,35632
2472,35910
2472,35999
2472,37192
2473,35957
2473,36076
2473,36261
2473,36262
2473,36490
2473,36491
2473,36525
2473,36644
2473,36674
2473,36918
2473,37028
2474,35697
2474,36297
2474,36430
2474,36439
2474,37370
2475,35787
2475,35788
2475,35789
2475,35864
2475,36138
2475,36409
2475,36584
2475,36841
2475,36844
2475,36912
2475,36913
2475,37050
2475,37073
2476,35526
2476,35971
2476,35972
2476,36391
2476,36715
2476,37051
2477,36430
2477,37011
2478,35949
2478,36660
2478,36815
2478,36982
2478,37106
2478,37173
2478,37259
2479,36430
2479,36584
2479,36739
2479,36819
2480,35905
2480,36469
2480,36810
2481,35621
2481,35622
2481,36254
2481,36660
2481,36952
2481,37274
2481,37383
2482,35542
2482,35638
2482,35725
2482,36512
2482,36618
2482,36948
2482,37347
2483,35914
2483,36312
2483,36430
2483,37296
2484,35542
2484,35697
2484,35913
2484,36122
2484,36258
2484,36535
2485,35734
2485,37059
2485,37061
2485,37213
2485,37214
2486,36254
2486,36255
2486,36256
2486,36316
2486,36512
2486,36514
2486,36518
2486,36530
2486,36584
2487,35999
2487,36097
2487,36299
2487,36304
2487,36430
2487,36791
2487,36952
2488,36041
2488,36132
2488,36345
2488,36703
2488,36715
2489,35493
2489,35800
2489,35971
2489,35999
2489,36132
2489,36362
2489,36411
2489,36430
2489,37357
2490,36009
2490,36012
2490,36156
2490,36306
2490,36430
2490,36862
2490,37136
2490,37311
2491,35621
2491,36192
2491,36215
2491,36602
2491,36764
2491,36815
2491,36918
2492,35821
2492,36283
2492,36423
2492,36424
2492,36430
2492,36584
2492,36667
2492,36992
2492,37071
2492,37383
2493,35594
2493,35783
2493,36162
2493,36401
2493,37370
2494,35787
2494,35788
2494,35789
2494,36138
2494,36430
2494,36912
2494,36913
2494,37324
2495,35511
2495,35783
2495,35976
2495,36204
2495,36205
2495,36430
2495,36536
2496,35824
2496,35989
2496,36126
2496,36297
2496,36780
2496,37370
2496,37431
2497,36430
2497,36495
2497,36496
2497,36631
2497,36700
2498,35864
2498,35937
2498,36184
2498,36391
2498,36667
2498,37192
2498,37193
2499,37040
2500,35811
2500,35943
2500,36100
2500,36132
2500,36430
2500,37405
2501,35511
2501,35953
2501,35962
2501,36550
2501,36756
2501,37324
2502,36275
2502,36430
2502,36652
2502,36862
2502,36992
2502,37010
2503,35734
2503,35971
2503,36423
2503,36424
2503,36584
2503,36703
2503,37383
2504,35473
2504,35864
2504,35885
2504,36254
2504,36255
2504,36256
2504,36514
2504,36518
2504,36584
2504,37009
2504,37065
2504,37066
2504,37370
2505,35864
2505,36009
2505,36254
2505,36255
2505,36256
2505,36430
2505,36514
2505,36518
2505,36584
2505,37154
2505,37174
2506,35725
2506,35783
2506,36841
2506,36937
2507,35526
2507,35772
2507,36759
2507,36958
2508,35526
2508,36080
2508,36556
2508,37016
2509,35842
2509,35864
2509,36254
2509,36255
2509,36256
2509,36258
2509,36430
2509,36514
2509,36518
2509,36584
2509,36921
2509,37109
2510,35511
2510,36956
2510,37166
2510,37314
2511,36196
2511,36197
2511,36660
2511,36855
2511,36956
2512,35905
2512,35936
2512,36224
2512,36315
2512,36445
2512,36574
2512,36719
2512,36948
2513,35541
2513,35711
2513,36430
2513,36485
2513,36486
2513,36847
2513,37263
2513,37378
2514,35503
2514,35913
2514,36430
2514,36886
2514,36959
2514,36960
2515,35750
2515,36423
2515,36993
2516,35526
2516,35862
2516,36224
2516,36430
2516,37112
2516,37314
2517,35755
2517,36401
2517,36703
2518,35493
2518,35526
2518,35599
2518,35683
2518,35837
2518,36506
2518,36526
2519,36027
2519,36126
2519,36312
2519,37016
2520,35493
2520,35587
2520,35621
2520,35949
2520,36584
2520,36782
2520,37259
2521,35542
2521,36075
2521,36076
2521,36132
2521,36134
2521,36952
2521,37051
2521,37122
2521,37458
2522,35628
2522,35629
2522,35725
2522,35755
2522,36700
2522,37051
2523,35734
2523,35864
2523,36605
2523,36962
2523,36964
2523,37154
2523,37155
2523,37340
2524,35851
2524,35864
2524,36066
2524,36143
2524,36715
2524,37192
2524,37193
2524,37385
2525,35664
2525,35721
2525,36605
2525,36607
2526,35553
2526,35597
2526,36283
2526,36605
2526,36626
2527,35511
2527,35526
2527,35599
2527,35774
2527,35775
2527,36126
2527,36127
2527,36375
2527,36830
2527,36831
2527,37142
2528,35734
2528,35829
2528,36224
2528,36695
2528,36715
2528,36752
2528,36753
2528,37399
2529,35488
2529,35489
2529,35542
2529,36028
2529,36430
2530,35543
2530,36490
2530,36491
2530,36918
2530,37431
2531,35913
2531,36187
2531,36430
2531,36495
2531,36496
2532,36009
2532,36013
2532,36095
2532,36320
2532,36679
2532,36715
2532,37239
2533,35599
2533,36009
2533,36012
2533,36028
2533,36546
2533,36862
2534,35916
2534,36660
2535,35787
2535,35864
2535,36430
2535,36703
2535,36704
2536,35548
2536,35916
2536,36048
2536,36080
2536,36122
2536,36505
2536,36847
2536,37385
2537,35583
2537,35743
2537,35913
2537,36132
2537,37109
2537,37310
2537,37401
2538,36304
2538,36430
2538,36605
2538,36886
2538,37177
2539,35734
2539,36430
2539,36436
2539,36626
2539,37154
2539,37155
2539,37314
2539,37401
2540,36126
2540,36220
2540,36675
2540,36715
2540,36841
2541,35493
2541,36297
2541,36339
2541,36526
2541,36759
2541,36798
2542,36159
2542,36194
2542,36811
2542,36912
2542,37274
2542,37276
2543,36076
2543,36483
2543,36484
2543,36841
2543,36956
2543,37040
2544,35599
2544,35864
2544,36287
2544,36641
2544,36981
2545,35807
2545,36132
2545,36430
2545,36437
2545,36918
2545,37136
2545,37222
2545,37431
2546,35654
2546,36095
2546,36430
2546,36460
2546,36584
2546,36959
2546,36960
2547,36334
2547,36430
2547,36474
2547,36489
2547,36584
2547,36667
2547,36711
2547,36715
2547,37154
2548,35485
2548,35599
2548,35691
2548,35692
2548,36401
2548,36789
2549,35984
2549,36703
2549,36715
2549,36815
2550,35511
2550,35543
2550,35948
2550,36230
2550,36544
2550,37051
2550,37142
2550,37154
2550,37201
2550,37204
2551,35654
2551,35864
2551,36301
2551,36430
2552,35905
2552,35909
2552,36461
2552,36676
2552,36677
2552,37324
2553,35541
2553,35827
2553,36201
2553,36430
2553,36584
2553,36959
2553,36960
2554,35723
2554,36512
2554,36532
2554,36584
2554,36956
2554,37213
2554,37299
2554,37300
2555,35838
2555,35905
2555,35909
2555,36573
2555,37324
2556,35851
2556,35864
2556,36827
2556,37379
2557,35587
2557,35999
2557,36690
2557,36695
2557,36715
2557,36752
2557,36753
2557,37000
2558,35511
2558,35516
2558,35965
2558,35994
2558,36132
2558,36430
2558,36970
2558,37338
2559,35621
2559,35723
2559,37239
2560,35511
2560,35543
2560,35825
2560,36512
2560,36532
2560,36688
2560,37016
2561,35790
2561,36349
2561,36350
2561,36382
2561,36383
2561,36430
2561,36495
2561,36496
2561,36850
2561,37363
2562,35811
2562,36312
2562,36952
2562,37274
2563,36126
2563,37310
2564,36224
2564,36233
2564,36423
2564,36545
2564,36584
2564,36605
2565,35475
2565,35913
2565,36006
2565,36315
2565,36509
2566,35707
2566,36430
2566,36584
2566,37051
2566,37453
2567,35734
2567,35762
2567,36415
2567,37110
2567,37374
2567,37418
2567,37429
2568,36304
2568,36430
2568,36551
2568,37016
2569,35783
2569,36430
2569,36625
2570,36294
2570,36430
2570,36617
2570,36959
2570,36960
2571,35488
2571,35489
2571,36114
2571,36320
2571,36322
2571,36412
2571,36430
2571,36641
2571,36642
2571,36749
2572,35785
2572,35861
2572,36345
2572,36430
2572,36959
2572,36960
2573,36115
2573,36423
2573,36584
2573,36630
2573,37076
2573,37136
2573,37142
2573,37285
2573,37288
2573,37380
2574,35783
2574,35864
2574,36260
2574,36312
2574,36675
2575,35488
2575,35489
2575,36295
2575,36430
2575,37431
2576,35956
2576,36076
2576,36187
2576,36261
2576,37384
2577,35573
2577,35916
2577,36430
2577,36660
2577,36798
2577,36938
2577,37305
2577,37400
2578,36132
2578,36244
2578,36415
2578,36421
2578,36430
2578,37028
2579,35493
2579,35645
2579,35656
2579,37106
2580,36126
2580,36287
2580,37245
2581,35599
2581,36474
2581,37134
2581,37156
2581,37431
2582,35743
2582,36162
2582,36660
2583,36430
2584,35511
2584,36028
2584,36029
2584,36660
2584,36840
2584,36882
2584,37124
2584,37126
2585,37009
2585,37331
2586,35527
2586,35635
2586,35636
2586,35864
2586,35867
2586,36715
2586,36912
2587,36016
2587,37239
2587,37437
2588,36284
2589,35953
2589,36320
2589,36325
2589,36430
2589,36495
2589,36496
2589,36553
2589,36584
2589,36660
2589,36841
2589,36844
2589,36847
2589,36984
2589,37124
2590,35842
2590,36465
2590,36467
2590,36660
2590,36815
2591,36626
2591,36660
2591,36861
2591,36868
2592,36253
2592,36502
2593,35527
2593,36207
2593,36476
2593,36815
2593,37124
2594,35734
2594,36191
2594,37076
2594,37370
2595,35488
2595,35749
2595,36584
2595,36730
2595,36764
2595,37011
2595,37259
2595,37299
2595,37300
2596,35743
2596,35745
2596,35790
2596,35889
2596,35966
2596,35969
2596,36068
2596,36078
2596,36079
2596,36349
2596,36352
2596,36401
2596,36404
2596,36406
2596,36430
2596,36476
2596,36495
2596,36496
2596,36567
2596,36811
2596,36832
2596,36850
2596,36852
2596,36854
2596,37072
2596,37124
2596,37450
2597,35817
2597,36316
2597,36815
2597,37073
2597,37192
2597,37324
2597,37370
2598,35644
2598,35780
2598,36115
2598,36490
2598,36646
2598,36647
2598,36649
2598,36654
2598,36656
2598,36921
2598,37042
2598,37047
2598,37082
2598,37324
2598,37370
2599,35488
2599,35489
2599,35984
2599,36076
2599,36430
2600,35710
2600,35787
2600,36110
2600,36210
2600,36320
2601,35511
2601,36076
2601,36196
2601,36228
2601,36229
2601,36305
2601,36458
2601,36512
2601,36532
2601,36584
2601,36667
2601,36668
2602,35543
2602,35805
2602,36098
2602,36107
2602,36125
2602,36187
2602,36201
2602,36258
2602,36461
2602,36536
2602,36578
2602,36584
2602,36956
2602,36992
2602,37221
2603,35625
2603,36845
2603,36998
2603,37274
2604,35542
2604,36277
2604,36935
2604,37344
2605,35697
2605,35961
2605,36076
2605,36196
2605,36461
2605,36553
2605,36584
2605,36676
2605,36719
2606,36224
2606,36954
2606,37192
2607,35599
2607,36430
2607,36835
2607,37380
2608,35936
2608,36291
2608,36690
2608,36773
2608,36938
2608,36950
2609,35808
2609,35810
2609,35905
2609,36174
2609,37025
2609,37344
2610,35621
2610,35622
2610,36297
2610,36430
2610,36434
2610,36435
2610,36660
2611,35831
2611,36192
2611,36972
2611,37131
2612,35625
2612,35787
2612,36187
2612,36935
2613,35851
2613,36254
2613,36584
2613,37383
2613,37399
2614,35943
2614,36474
2614,36584
2614,36791
2614,36841
2614,36844
2614,37370
2615,35473
2615,35734
2615,36224
2615,36539
2615,37059
2615,37061
2615,37142
2615,37175
2615,37213
2615,37214
2616,35905
2616,37031
2617,35511
2617,35597
2617,37042
2617,37324
2618,35521
2618,35808
2618,36095
2618,36430
2618,36865
2619,35946
2619,36084
2619,36317
2619,36318
2619,37380
2620,36080
2620,36315
2620,36584
2620,37011
2620,37333
2620,37342
2621,36004
2621,36084
2621,36096
2621,36258
2621,36580
2621,36581
2621,36584
2621,36643
2621,37009
2621,37239
2622,35787
2622,36150
2622,36196
2622,36224
2622,36375
2622,36584
2623,35697
2623,36192
2623,36299
2623,36300
2623,36320
2623,36584
2623,37098
2623,37192
2624,36845
2624,36889
2624,36935
2624,37306
2625,35599
2625,36535
2625,36939
2625,36940
2625,37239
2626,36201
2626,36841
2626,36862
2626,37370
2627,35755
2627,36711
2627,36935
2628,36217
2628,36651
2628,37274
2628,37344
2629,35551
2629,36110
2629,36174
2629,36845
2629,37279
2630,35527
2630,35541
2630,35542
2630,35905
2630,35906
2630,36501
2630,36695
2630,36711
2631,35543
2631,35772
2631,35946
2631,36317
2631,36318
2631,37131
2632,35723
2632,36495
2632,36991
2632,37082
2632,37370
2633,35825
2633,36028
2633,36076
2633,36220
2633,36430
2634,36211
2634,36320
2634,37344
2635,35541
2635,35723
2635,36114
2635,36320
2635,36322
2635,36430
2636,35530
2636,35557
2636,35558
2636,35790
2636,36341
2636,36382
2636,36850
2636,37344
2636,37363
2636,37365
2637,35599
2637,36138
2637,36315
2637,36514
2637,36912
2637,36913
2637,36962
2637,37226
2637,37258
2638,35557
2638,35558
2638,35680
2638,35790
2638,36341
2638,36382
2638,36850
2638,37278
2638,37344
2639,35697
2639,35787
2639,35984
2639,36305
2639,36344
2639,36584
2639,36673
2639,36675
2639,36869
2640,35537
2640,36862
2640,36999
2640,37082
2641,35599
2641,36315
2641,36841
2641,36923
2641,37016
2641,37017
2641,37239
2642,35905
2642,35946
2642,36228
2642,36229
2642,36584
2642,36605
2642,37380
2642,37431
2643,35905
2643,35906
2643,35999
2643,36501
2643,36775
2643,36815
2644,36458
2645,36430
2645,37154
2645,37357
2646,35781
2646,35808
2646,36305
2646,36358
2646,36845
2647,35543
2647,36596
2647,36715
2647,36791
2648,35889
2648,35914
2648,35915
2648,36048
2648,36845
2649,36538
2649,36630
2649,36775
2649,37122
2650,35620
2650,36009
2650,36277
2650,36596
2650,36659
2650,36787
2650,37239
2650,37242
2650,37370
2651,35621
2651,35622
2651,35697
2651,36027
2651,36284
2651,36309
2651,36660
2651,37158
2651,37370
2651,37389
2652,36315
2652,36845
2652,37082
2653,35599
2653,35905
2653,35907
2653,36041
2653,36514
2653,36516
2653,36517
2653,36855
2653,36957
2653,37000
2654,35860
2654,35995
2654,36982
2654,37074
2655,36224
2655,36577
2655,37076
2655,37285
2655,37288
2656,35918
2656,36744
2656,37153
2656,37317
2657,35567
2657,36098
2657,36099
2657,36174
2657,36597
2657,36676
2657,36841
2657,36935
2657,37239
2658,35488
2658,35489
2658,35672
2658,36430
2658,37022
2659,35487
2659,35697
2659,36841
2659,36935
2659,37274
2660,35821
2660,36122
2660,36141
2660,37239
2660,37285
2661,36375
2661,36798
2661,36982
2662,35505
2662,36254
2662,36255
2662,36256
2662,36430
2662,36514
2662,36518
2662,36584
2662,36759
2662,36956
2662,37370
2663,35577
2663,35599
2663,35905
2663,36102
2663,36201
2663,36584
2663,36587
2663,36982
2663,37344
2664,35599
2664,35697
2664,35905
2664,37401
2665,35505
2665,35599
2665,36401
2665,36403
2665,36481
2665,36548
2666,35674
2666,35771
2667,35511
2667,35543
2667,36138
2667,36536
2667,37274
2667,37324
2667,37385
2668,35511
2668,36509
2668,36512
2668,37385
2669,35526
2669,35781
2669,36028
2669,36501
2669,37064
2670,35625
2670,35781
2670,36128
2670,36219
2670,36550
2670,36744
2670,36756
2670,36868
2670,37324
2670,37370
2671,35599
2671,35615
2671,35621
2671,36401
2671,36403
2671,36935
2671,37239
2671,37294
2672,35654
2672,35772
2672,36072
2672,36192
2672,36228
2672,36639
2672,36983
2672,37106
2672,37191
2672,37344
2673,35723
2673,35848
2673,36584
2673,36589
2673,36956
2673,37051
2674,35697
2674,35787
2674,36027
2674,36284
2675,35541
2675,35567
2675,35599
2675,35864
2675,36189
2675,36500
2675,37239
2675,37332
2675,37379
2676,35559
2676,36095
2676,36201
2676,36584
2677,35493
2677,35599
2677,35721
2677,37010
2678,36228
2678,36229
2678,36258
2678,36468
2678,36584
2678,36943
2678,36944
2679,35961
2679,36224
2679,36514
2679,36577
2679,36658
2679,36869
2680,35599
2680,35608
2680,35621
2680,35622
2680,35638
2680,35864
2680,35884
2680,35939
2680,35940
2680,36176
2680,36430
2680,36438
2680,36577
2680,36660
2680,36661
2680,36725
2680,36920
2680,37192
2680,37239
2680,37370
2681,35473
2681,35825
2681,36798
2681,37009
2681,37010
2682,35756
2682,35999
2682,36028
2682,36299
2682,36300
2682,36320
2682,36653
2682,36873
2683,35621
2683,35622
2683,36009
2683,36028
2683,36315
2683,36660
2683,36780
2684,35654
2684,35697
2685,35654
2685,36228
2685,36229
2685,36584
2685,37385
2686,35473
2686,35621
2686,35622
2686,35795
2686,35939
2686,36660
2686,36664
2686,37370
2687,35718
2687,35905
2687,35946
2687,36080
2687,36317
2687,36318
2688,35942
2688,36803
2688,36999
2689,35621
2689,35622
2689,35821
2689,36430
2689,36660
2689,37285
2690,35542
2690,35621
2690,36105
2690,36430
2690,36959
2690,36960
2690,37022
2691,35811
2691,35889
2691,36004
2691,36066
2691,36098
2691,36099
2691,36841
2691,37239
2692,35683
2692,35777
2692,35837
2692,36423
2692,36430
2692,36458
2692,36584
2692,37192
2693,35599
2693,35918
2693,35945
2693,36584
2693,36587
2693,36841
2693,36844
2693,36935
2694,35621
2694,35622
2694,36430
2694,36553
2694,36660
2694,36746
2695,35697
2695,36027
2695,36076
2695,37379
2696,36096
2696,36865
2696,36912
2697,35590
2697,35599
2697,35750
2697,35751
2697,36141
2697,36584
2697,36587
2697,36990
2698,35497
2698,35905
2698,35907
2698,36088
2698,36514
2698,36516
2698,36517
2698,36553
2698,36695
2698,36752
2698,36753
2698,36791
2698,36855
2698,37130
2699,35541
2699,35621
2699,36028
2699,36201
2699,36695
2699,36791
2699,36847
2699,36895
2699,37184
2700,36191
2700,36841
2700,36935
2700,37411
2701,35689
2701,36230
2701,36295
2701,36315
2701,36598
2701,36599
2701,37022
2701,37399
2702,35961
2702,36137
2702,36228
2702,36584
2702,36982
2703,35526
2703,35621
2703,35622
2703,35829
2703,35984
2703,36474
2703,36660
2703,37010
2703,37082
2704,35770
2704,35946
2704,36317
2704,36318
2704,36849
2704,37338
2705,35864
2705,36126
2705,36430
2705,37142
2706,35557
2706,35558
2706,35676
2706,35677
2706,35790
2706,36341
2706,36382
2706,36383
2706,36850
2706,37170
2706,37344
2706,37353
2706,37363
2707,36430
2707,37314
2708,35529
2708,35583
2708,35971
2708,36201
2708,36277
2708,36287
2708,36430
2709,35905
2709,36096
2709,36174
2709,36975
2709,37273
2710,35621
2710,36495
2710,37217
2710,37218
2710,37219
2710,37387
2710,37388
2711,35704
2711,35970
2711,36122
2711,36224
2712,35543
2712,35821
2712,35957
2712,36261
2712,36262
2712,36474
2712,36553
2712,36803
2712,37027
2712,37131
2712,37370
2713,36009
2713,36430
2713,36660
2713,36841
2713,37192
2714,36071
2714,36196
2714,36197
2714,36423
2714,36424
2714,36584
2714,36855
2714,37192
2714,37383
2715,35621
2715,35622
2715,35756
2715,36513
2715,36660
2715,36815
2715,36828
2715,37359
2716,35543
2716,35599
2716,35999
2716,36791
2716,36954
2716,37178
2717,35621
2717,35622
2717,35966
2717,36660
2717,36719
2717,36752
2717,37192
2718,35599
2718,35691
2718,35693
2718,35945
2718,35984
2718,35988
2718,36339
2718,36584
2718,36587
2718,36791
2718,36810
2718,36975
2718,37196
2718,37216
2718,37239
2719,36054
2719,36177
2720,35825
2720,35937
2720,36137
2720,36728
2720,36752
2721,36020
2721,36143
2721,36224
2721,36597
2721,36719
2721,36759
2722,35493
2722,36379
2722,36472
2722,37185
2722,37438
2723,35721
2723,35864
2723,36567
2723,37076
2723,37077
2723,37259
2723,37285
2723,37288
2723,37289
2724,35725
2724,36080
2724,36703
2724,37022
2724,37028
2724,37418
2724,37426
2725,36137
2725,36412
2725,36413
2725,36584
2725,36896
2725,36970
2725,37175
2726,35599
2726,35602
2726,35734
2726,35898
2726,35928
2726,35929
2726,36108
2726,36198
2726,36199
2726,36567
2726,37370
2727,35650
2727,36068
2727,36401
2727,36667
2728,35864
2728,35883
2728,35976
2728,36080
2728,36521
2728,36814
2728,37084
2728,37185
2729,35476
2729,35477
2729,35825
2729,35889
2729,35895
2729,36584
2729,37239
2729,37400
2730,35662
2730,36345
2730,36959
2730,36970
2731,35559
2731,35864
2731,35889
2731,36962
2731,36965
2732,35599
2732,35602
2732,35734
2732,35966
2732,36114
2732,36121
2732,36764
2732,36766
2732,36962
2732,37055
