node1,node2,rel
2470,0,0
2471,1,0
2472,2,0
2473,3,0
2473,4,0
2473,5,0
2474,6,0
2475,7,0
2475,8,0
2475,9,0
2476,10,0
2477,11,0
2478,12,0
2478,13,0
2479,14,0
2479,15,0
2480,16,0
2481,17,0
2482,18,0
2483,19,0
2484,20,0
2485,21,0
2486,22,0
2486,23,0
2487,24,0
2487,25,0
2488,26,0
2489,16,0
2490,27,0
2491,28,0
2492,29,0
2492,30,0
2493,31,0
2493,32,0
2494,33,0
2495,34,0
2496,35,0
2496,36,0
2497,37,0
2498,37,0
2499,38,0
2500,39,0
2501,37,0
2502,37,0
2503,17,0
2504,40,0
2505,41,0
2506,17,0
2507,42,0
2507,43,0
2508,44,0
2509,34,0
2509,45,0
2510,46,0
2511,47,0
2511,48,0
2512,37,0
2513,49,0
2514,50,0
2515,14,0
2515,15,0
2516,51,0
2516,52,0
2517,53,0
2518,54,0
2519,7,0
2519,8,0
2519,9,0
2520,55,0
2521,56,0
2522,57,0
2523,58,0
2524,59,0
2524,60,0
2525,61,0
2526,62,0
2526,63,0
2527,64,0
2528,65,0
2529,11,0
2529,66,0
2530,67,0
2530,68,0
2530,69,0
2531,70,0
2531,71,0
2532,72,0
2533,73,0
2534,74,0
2535,39,0
2536,33,0
2536,75,0
2537,76,0
2537,77,0
2538,78,0
2538,79,0
2539,74,0
2540,80,0
2541,81,0
2541,82,0
2542,83,0
2542,84,0
2542,85,0
2542,86,0
2543,87,0
2544,88,0
2545,89,0
2546,90,0
2547,91,0
2548,92,0
2549,93,0
2550,81,0
2550,82,0
2551,94,0
2552,95,0
2552,96,0
2553,97,0
2554,98,0
2555,24,0
2555,99,0
2556,3,0
2556,100,0
2557,101,0
2557,102,0
2558,28,0
2559,44,0
2560,49,0
2561,103,0
2562,104,0
2563,40,0
2564,105,0
2564,106,0
2564,107,0
2565,108,0
2566,109,0
2567,110,0
2567,111,0
2568,112,0
2569,113,0
2570,114,0
2571,16,0
2572,115,0
2573,54,0
2574,116,0
2575,72,0
2576,7,0
2576,9,0
2576,117,0
